cod_cliente,primeiro_nome,ultimo_nome,email,tipo_cliente,data_inclusao,cpfcnpj,data_nascimento,endereco,cep
28,Sabrina,Dias,moreiraemanuelly@example.org,PF,2017-04-03 16:11:00 UTC,357.081.496-39,2006-08-11,Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,95140-704
674,Luiz Felipe,Dias,pedroferreira@example.org,PF,2021-02-10 13:27:00 UTC,085.196.374-93,1995-10-11,"Avenida da Rosa, 654 João Paulo Ii 20295449 Nunes / AP",76516-765
693,Renan,Dias,ogomes@example.net,PF,2020-01-21 13:12:00 UTC,783.416.059-10,1948-11-19,Jardim de Rodrigues Ipiranga 14161-477 Duarte da Praia / RN,51779625
743,Clara,Dias,rafaelcorreia@example.org,PF,2019-05-06 11:39:00 UTC,589.237.610-95,1978-01-27,"Colônia Thomas Silva, 9 Tupi B 15771-946 Fernandes / SP",19615792
769,André,Dias,danilo33@example.org,PF,2017-01-07 14:53:00 UTC,459.608.721-02,1990-08-25,"Rua Correia, 889 Diamante 59123250 Aragão / RS",01672838
824,Heloísa,Dias,alanadias@example.org,PF,2016-01-07 12:26:00 UTC,536.981.240-33,1967-05-12,"Favela de da Mata, 3 Conjunto Novo Dom Bosco 77145256 Vieira / MS",07814-131
884,Maria Julia,Dias,alvesmariana@example.net,PF,2017-08-06 11:01:00 UTC,150.438.926-33,1950-12-10,"Esplanada Maria Luiza Ribeiro, 4 Conjunto Califórnia Ii 13748392 Moraes / ES",90221-380
899,Arthur,Dias,castropedro-lucas@example.net,PF,2021-10-17 13:00:00 UTC,509.481.762-02,1953-02-26,"Ladeira Elisa da Rocha, 69 João Pinheiro 13964-513 Araújo da Prata / PB",44875-244
908,Vitor Gabriel,Dias,acardoso@example.com,PF,2021-04-02 10:22:00 UTC,158.406.379-39,1948-03-25,"Passarela Lucca Castro, 73 Vila Paris 99268696 Farias / BA",42603-833
945,Caio,Dias,moraesmarina@example.org,PF,2016-05-10 13:56:00 UTC,975.860.431-75,1955-06-11,"Fazenda Emanuel Gomes, 6 Cruzeiro 29428-910 Novaes / SP",23176352
5,Daniela,Lima,yago42@example.net,PF,2015-01-14 11:53:00 UTC,071.259.643-70,1994-03-04,"Lago de Moraes, 592 Mirtes 10935-233 Nascimento de Peixoto / AL",96027-142
262,João Lucas,Lima,brunaduarte@example.org,PF,2019-10-19 11:14:00 UTC,358.702.964-47,1950-10-17,"Rua João Lucas Freitas, 46 Vila Nova Cachoeirinha 2ª Seção 97602-589 Castro de Goiás / AC",29942-354
281,Enrico,Lima,fernandesbryan@example.net,PF,2016-06-27 15:06:00 UTC,180.746.392-31,1978-01-15,"Praia Isabelly Martins, 7 Morro Dos Macacos 27993489 da Mota do Amparo / MS",97628-818
352,Carolina,Lima,maria-sophiacardoso@example.com,PF,2022-06-05 14:12:00 UTC,658.079.314-75,1948-07-19,"Trecho de Campos, 54 Cônego Pinheiro 1ª Seção 77765-955 Novaes / AP",57113-154
387,Isaac,Lima,nicolecardoso@example.com,PF,2014-02-08 13:28:00 UTC,869.103.725-30,1945-07-22,"Chácara Pietra Nascimento, 7 Apolonia 81600-416 Novaes das Pedras / AL",26119706
