num_conta,cod_cliente,cod_agencia,cod_colaborador,tipo_conta,data_abertura,saldo_total,saldo_disponivel,data_ultimo_lancamento
53,53,1,7,PF,2011-05-24 15:30:00 UTC,2984.7614999999996,2814.6699999999996,2019-07-02 11:03:46 UTC
190,190,1,7,PF,2014-10-17 14:48:00 UTC,4262.4322,4191.8600000000006,2021-03-25 12:00:15 UTC
191,191,1,7,PF,2013-03-23 14:14:00 UTC,3266.5679999999988,3080.7099999999987,2016-09-09 23:34:15 UTC
203,203,1,7,PF,2016-08-03 16:13:00 UTC,21241.542400000013,19461.560000000012,2022-12-28 07:58:24 UTC
254,254,1,7,PF,2012-10-24 13:48:00 UTC,13335.696599999997,13197.539999999997,2013-12-20 22:20:00 UTC
306,306,1,7,PF,2012-05-23 12:11:00 UTC,22997.473800000003,21677.880000000005,2016-10-05 03:14:36 UTC
472,472,1,7,PF,2022-08-07 12:08:00 UTC,4178.4237,4183.68,2022-12-30 00:00:00.67516 UTC
520,520,1,7,PF,2019-11-03 16:26:00 UTC,1809.8087000000019,1288.5100000000016,2022-12-29 23:59:59.753932 UTC
739,739,1,7,PF,2014-02-26 12:20:00 UTC,45.769100000000265,616.79000000000019,2022-12-29 23:59:59.789361 UTC
509,509,1,13,PF,2012-01-20 11:56:00 UTC,19159.795199999993,19863.759999999995,2016-06-09 22:25:04 UTC
688,688,1,13,PF,2017-12-05 11:03:00 UTC,61105.5635,55917.149999999994,2022-09-24 13:18:37 UTC
775,775,1,13,PF,2011-03-19 14:55:00 UTC,39008.684,35288.34,2021-06-25 14:12:03 UTC
920,920,1,13,PF,2021-01-22 13:48:00 UTC,2023.5779999999966,2511.2999999999965,2022-12-29 23:59:59.953426 UTC
954,954,1,13,PF,2012-04-15 10:23:00 UTC,35545.032199999994,34545.619999999988,2020-03-22 02:59:42 UTC
955,955,1,13,PF,2020-03-28 14:02:00 UTC,79502.068800000037,80952.720000000045,2022-06-04 07:26:23 UTC
